region,n_neurons,tuned_frac,median_abs_A,median_r2
M1,90,0.7333333333333333,0.5336103543991928,0.26943610026978676
S1,89,0.7865168539325843,0.6254765260882962,0.33801069847795784
Other,328,0.7164634146341463,0.28680677530006377,0.29406434941618026
