neuron,A,PD,b,r2,region
0,0.40005531156751156,0.598052184133374,1.8341613117981743,0.2905502456394974,M1
1,0.3151402823284853,0.29755464762222716,3.1756764924301013,0.2720107048051136,M1
2,0.09271543002419909,1.9117400532412683,1.0528394718799208,0.13817098381644155,M1
3,0.6294085638747722,0.09872507485698168,3.8543449114486728,0.3351272907209335,M1
4,1.3429565880933438,0.833289136752776,4.7541345082569,0.4918295747723871,M1
5,0.8700622247703342,2.6557081418292667,6.708298665609288,0.3333866238136781,M1
6,0.22534975194698978,0.6750959275866147,2.3794864335565102,0.17484261429171222,M1
7,0.82564580377337,0.5806207960319356,6.703287471620348,0.5179810032372748,M1
8,1.096803938818852,0.2929770710269282,5.399369758744919,0.45726858949152116,M1
9,1.175018065453767,0.5502596212773001,6.3612976974390465,0.19624958162924,M1
10,0.7523366233018867,1.076428497032239,8.221105806469573,0.25720268515241695,M1
11,0.7809286407954301,-1.0406108096749367,8.812490640682315,0.162878061968316,M1
12,0.15779605272562844,0.3876883279230284,1.7021861559528608,0.06515479983299965,M1
13,1.244184638992332,-0.6387731357517413,4.598749424262369,0.47414138333248845,M1
14,0.8611490610090751,0.5161989968681864,2.7273077657920113,0.4392487741643729,M1
15,0.46665080172088697,0.040905232415548,5.608105841104838,0.10287736488753685,M1
16,-0.10313132584319457,-0.7328778761046695,2.5966326060817635,0.03594899398565565,M1
17,0.6276857343316216,0.6507929687773736,2.999107071233189,0.6581859495908693,M1
18,1.9458246584152263,0.6022493820514964,7.532907934463,0.6217088917862175,M1
19,1.4994813747359426,0.25068304012159526,5.361440654426504,0.8627010529722232,M1
20,0.1939649118886826,0.43017067848428764,3.4283968381223415,0.05387332436259473,M1
21,0.10555256354912132,2.938511189693916,2.6557736931694946,0.06369849783997206,M1
22,0.12027697328913267,0.37784054665017935,1.6188247892081362,0.2188369018388845,M1
23,0.11413032978348078,-1.3995728457627212,0.9657772864926645,0.1480009990066118,M1
24,1.055936967986202,0.6133076808924689,6.262343352348214,0.35782904660351644,M1
25,0.052305447860921506,1.5541210073983316,0.9102068453764061,0.028223627100133597,M1
26,0.23607381563412255,0.1418627064750961,1.0529962600331626,0.6023114921285935,M1
27,1.1285529337266453,0.490659261184223,4.029333646112015,0.6380913710216003,M1
28,0.11957480883358544,0.9298153397369309,1.517903512548816,0.2099845403594306,M1
29,1.0542617550665205,0.6689517295332515,4.5584077596947346,0.5775693378135756,M1
30,-0.12654006907945406,0.10927978051184031,0.7013152732144913,0.40954380424812953,M1
31,2.1832416020238363,0.45663191451566704,5.3876712453427205,0.5901834669999021,M1
32,0.15013596157270573,0.5042932121687511,2.6116201248836406,0.10778351824884203,M1
33,0.6726903409391427,1.3989206262481522,7.478786024763834,0.24791001604532958,M1
34,0.11847352457478208,2.8048255017646357,1.6908264622881162,0.07424405884756702,M1
