neuron,mean_still,mean_move,cohen_d,pval,auc,label,p_adj,sig,unit_name
0,1.1133443918091241,1.9244520855732392,-0.28729687314228797,8.555977334674405e-20,0.40713358799821125,,1.1872247619431926e-19,True,<HDF5 object reference>
1,2.3036753735086988,3.317765611575163,-0.2629246111229596,1.1962329739516514e-15,0.4048556330721411,,1.6099676867469593e-15,True,<HDF5 object reference>
2,0.4446300782300914,1.1233688662086256,-0.3402269698032197,1.3627887973891052e-37,0.40235083983878367,,2.1976504029968453e-37,True,<HDF5 object reference>
3,1.6007204328606315,4.138106433735864,-0.6193532694679278,3.361015725398026e-98,0.2975600907791634,suppressed,8.241394723921186e-98,True,<HDF5 object reference>
4,1.7894420599435295,5.324554997266487,-0.7826087454669788,5.109555353064402e-167,0.26569575681939744,suppressed,2.690030612348612e-166,True,<HDF5 object reference>
5,3.809324525618275,7.203157967257075,-0.5760484703019023,1.1421726189555074e-84,0.34241123750179014,suppressed,2.621139728115844e-84,True,<HDF5 object reference>
6,1.1757745406967157,2.572797166523297,-0.43937462138409383,2.0630286134638726e-47,0.3517762363765494,suppressed,3.6562586317825066e-47,True,<HDF5 object reference>
7,2.967132394338027,7.0747065001427485,-0.766762529775696,1.1444396302982141e-126,0.2714318542506335,suppressed,3.658119532560363e-126,True,<HDF5 object reference>
8,2.3642682633914545,5.825969930265571,-0.7309538400333385,1.169047413122813e-127,0.2799464560761539,suppressed,3.804717944526973e-127,True,<HDF5 object reference>
9,2.8163600294100988,7.928492298358695,-0.8528497891087092,2.5804828349782343e-152,0.24863637625712773,suppressed,1.0997772082407237e-151,True,<HDF5 object reference>
10,6.934565111487537,8.466748069840964,-0.23203815624379695,4.261234057967372e-13,0.4429135771257552,,5.527252872291012e-13,True,<HDF5 object reference>
11,4.4085146539431745,10.076434335221942,-0.898192769483783,4.173875186964857e-163,0.25084981250858546,suppressed,2.0753434957408592e-162,True,<HDF5 object reference>
12,0.6099981591808109,2.0078345909863287,-0.5504223997523723,4.508046442985493e-92,0.30574088335783534,suppressed,1.0617635701242149e-91,True,<HDF5 object reference>
13,1.351414503078151,5.4978574545467715,-0.8930805184899561,5.076985946842756e-218,0.22122489032555992,suppressed,4.783055181499228e-217,True,<HDF5 object reference>
14,0.6333411678404831,3.036771846998731,-0.7064234377624573,2.895273360770126e-184,0.2598908662600212,suppressed,1.8509068984923307e-183,True,<HDF5 object reference>
15,3.14509745417756,6.608411626137136,-0.6694596046463136,1.7762700642288015e-104,0.31368559458013906,suppressed,4.675769727896404e-104,True,<HDF5 object reference>
16,1.3230724030892749,2.9448899100415304,-0.498120766531191,6.861638001684548e-59,0.32231436450201517,suppressed,1.3647035581128157e-58,True,<HDF5 object reference>
17,1.5222956000939731,3.239754760789989,-0.49820564500827796,1.4225342093635955e-58,0.33176054146000716,suppressed,2.7981716865503696e-58,True,<HDF5 object reference>
18,2.120962161383791,8.044082769135697,-0.9970359995477361,3.726818705737828e-286,0.2202113333664573,suppressed,8.33875685408839e-285,True,<HDF5 object reference>
